Event Type,Description,Release Date,Tags
"access.request.cancel","Access request canceled. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request cancellation. Okta Identity Governance API can be used to get more details about the canceled request.","2023.06.0","access","event-hook-eligible"
"access.request.condition.activate","Access request condition activated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition activation. Okta Identity Governance API can be used to get more details about the activated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.create","Access request condition created. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition creation. Okta Identity Governance API can be used to get more details about the created access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.deactivate","Access request condition deactivated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deactivation. Okta Identity Governance API can be used to get more details about the deactivated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.delete","Access request condition deleted. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition deletion. Okta Identity Governance API can be used to get more details about the deleted access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.invalidate","Access request condition invalidated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition invalidation. Okta Identity Governance API can be used to get more details about the invalidated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.condition.update","Access request condition updated. Can be used to audit access request condition to an Okta resource or to trigger downstream automation that depends on access request condition update. Okta Identity Governance API can be used to get more details about the updated access request condition.","2024.03.0","access","event-hook-eligible"
"access.request.create","Access request created. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request creation. Okta Identity Governance API can be used to get more details about the created request.","2022.11.0","access","event-hook-eligible"
"access.request.reject","Access request rejected. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request rejection. Okta Identity Governance API can be used to get more details about the rejected request.","2024.05.0","access","event-hook-eligible"
"access.request.resolve","Access request resolved. Can be used to audit access to an Okta resource or to trigger downstream automation that depends on request resolution. Okta Identity Governance API can be used to get more details about the resolved request.","2022.11.0","access","event-hook-eligible"
"account.org.add","Org is added to an Aerial account. Triggered when an org is added to an Aerial account. This event is fired in both the Aerial org and the added target org.","2023.10.1","account-service"
"account.org.delete.cancel","Org deletion request is cancelled. Triggered when the deletion request is cancelled. This event is fired in the Aerial org. The recovered org will be in the target.","2024.02.2","account-service"
"account.org.delete.request","Org is requested to be deleted. Triggered when a org is requested to be deleted. This event is fired in the Aerial org. The user or API client who requested the delete will be the actor and the org to be deleted will be in the target.","2024.02.2","account-service"
"account.org.product.update","Products are updated on an org. Triggered when Products are updated on an org. This event is fired only in the Aerial org.","2023.10.1","account-service"
"account.org.status.update","Org status is updated. Triggered when the status of an org is updated. This event is fired only in the Aerial org.","2023.10.1","account-service"
"analytics.feedback.provide","An admin has provided feedback on a detection Okta provided which indicated a change in user or session risk. This can be used to monitor feedback provided by admins in response to Okta determined changes in risk. This event is fired when an admin chooses to provide feedback on a detection event in the admin console.","2023.10.0","risk","security"
"analytics.reports.export.download","A user has downloaded an export file that Okta has generated for a report available in the admin console. This event may be used to identify access by a user to a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user has downloaded the export file. The user that downloaded it may not be the user that requested generation of the export file. See analytics.reports.export.request and analytics.reports.export.generate for related actions.","2022.05.1"
"analytics.reports.export.generate","Okta has generated an export file for a report available in the admin console. This event may be used to identify whether Okta successfully generated the export file that a user requested for a report. This event is primarily useful for troubleshooting if a report fails to generate. This event does not indicate whether a user downloaded the report file. See analytics.reports.export.request and analytics.reports.export.download for related actions.","2022.05.1"
"analytics.reports.export.request","A user has requested that Okta generate an export file for a report available in the admin console. This event may be used to identify a request by a user to export a report data set from Okta. This may be useful to audit access to report data for security investigations, compliance audits, and evaluation of the utility of a report within the Org. This event only indicates that a user requested the export. It does not indicate that an export file was successfully generated by Okta nor that the export file was accessed by a user. See analytics.reports.export.generate and analytics.reports.export.download for those actions.","2022.05.1"
"app.access_request.approver.approve","Request to access an app was approved by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.approver.deny","Request to access an app was denied by an administrator-defined approver.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.delete","Request to access an app was deleted by an administrator.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.deny","Request to access an app was denied after at least one approver denied the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.expire","Request to access an app expired by the system due to lack of approver action.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.grant","Request to access an app was granted after all approvers approved the request.","2017.43","app-instance-request","event-hook-eligible"
"app.access_request.request","Request to access an app was performed by a user.","2017.43","app-instance-request","event-hook-eligible"
"app.ad.api.user_import.account_locked","Active Directory user account set to locked following profile update: user is locked in active directory.","2016.10","ad-app"
"app.ad.api.user_import.warn.skipped_contact.attribute_invalid_value","Skipping import of contact due to invalid attribute. Please consult with your Active Directory admin if you believe this contact should be imported.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.attribute_invalid_value","Skipping import of user due to an invalid AD attribute.","2015.47","ad-app"
"app.ad.api.user_import.warn.skipped_user.missing_required_attribute","Skipping import of user due to a required AD attribute being null.","2011.01","ad-app"
"app.app_instance.csr.generate","Certificate signing request (CSR) generated.","2017.15","app"
"app.app_instance.csr.publish","Certificate signing request (CSR) published.","2017.15","app"
"app.app_instance.csr.revoke","Certificate signing request (CSR) revoked.","2017.15","app"
"app.app_instance.provision_sync_job.completed","Fired when a provision sync job has successfully completed. This can be used to confirm that a provision sync job has finished running and is no longer processing users. When fired, this event contains details about number of users processed in the job. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.failed","Fired when a provision sync job has failed. This can be used to identify when a provision sync job has failed. When fired, this event contains information about the reason the provision sync job failed. Related events include app.app_instance.provision_sync_job.started and app.app_instance.provision_sync_job.completed.","2019.08.3","admin","app","user-provision"
"app.app_instance.provision_sync_job.started","Fired when a provision sync job has successfully started. This can be used to confirm that a provision sync job has successfully started. Related events include app.app_instance.provision_sync_job.completed and app.app_instance.provision_sync_job.failed.","2019.08.3","admin","app","user-provision"
"app.audit_report.download.local.active","Application access report downloaded.","2017.52","app"
"app.audit_report.download.local.deprov","Recent unassignments report downloaded.","2017.52","app"
"app.audit_report.download.rogue.report","Rogue report downloaded.","2017.52","app"
"app.generic.unauth_app_access_attempt","User attempted unauthorized access to app.","2016.06","app"
"app.inbound_del_auth.login_success","Successful inbound delegated authentication request for user.","2016.18","delegated-auth"
"app.kerberos_rich_client.account_not_found","Kerberos based rich client authentication failed: Could not find Office 365 app user for the AD user with principal id.","2017.50","app","kerberos-rich-client"
"app.kerberos_rich_client.instance_not_found","Kerberos based rich client authentication failed: Unknown app instance id.","2017.50","app","kerberos-rich-client"
"app.kerberos_rich_client.multiple_accounts_found","Kerberos based rich client authentication failed: Multiple users with username found.","2017.50","app","kerberos-rich-client"
"app.kerberos_rich_client.user_authentication_successful","Kerberos based rich client authentication successful for Office 365 user.","2017.52","app","kerberos-rich-client"
"app.keys.clone","Application signing key cloned.","2017.25","app"
"app.keys.generate","New signing key generated.","2017.25","app"
"app.keys.rotate","Application signing key rotated.","2017.25","app"
"app.ldap.password.change.failed","Password change failed.","2014.18","ldap-app"
"app.oauth2.admin.consent.grant","Administrator consent granted for scope. This event can be used to track when an administrator grants consent to a client to request a specific scope. This event is fired when an admin grants consent.","2019.12.0","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.admin.consent.revoke","Administrator consent revoked for scope. This event can be used to track when an administrator revokes consent to a client to request a specific scope. This event is fired when an admin revokes consent.","2019.12.0","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.api_resource.create","OAuth2 API Resource is created. Manage and audit lifecycle events of API resources. Administrators are made aware that a new API resource is getting created under Authorization servers.","2022.04.2","oauth2","oauth2-api-resource"
"app.oauth2.api_resource.delete","OAuth2 API Resource is deleted. Manage and audit lifecycle events of API resources. Administrators are made aware that a new API resource is getting deleted under Authorization servers.","2022.04.2","oauth2","oauth2-api-resource"
"app.oauth2.api_resource.update","OAuth2 API Resource is updated. Manage and audit lifecycle events of API resources. Administrators are made aware that a new API resource is getting updated under Authorization servers.","2022.04.2","oauth2","oauth2-api-resource"
"app.oauth2.as.authorize","OAuth2 authorization request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.authorize.code","OAuth2 authorization code request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.authorize.implicit.access_token","OAuth2 authorization implicit access token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.authorize.implicit.id_token","OAuth2 authorization implicit ID token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.authorize.scope_denied","Some of the requested scopes were denied by the policy.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.grant","User granted consent to app.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke","Consent revoked.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.implicit.as","All consent revoked for authorization server.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.implicit.client","All consent revoked for client.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.implicit.scope","All consent revoked for scope.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.implicit.user","Consent for all scopes revoked for user.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.user","All consent revoked for user.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.consent.revoke.user.client","User consent revoked for client.","2016.14","event-hook-eligible","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.evaluate.claim","Claim evaluation for OAuth2 token.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.interact.interaction_code","Fired when interaction code is generated by OIE. This event can be used by administrators to audit interaction_code generation, and troubleshoot why the IdX transaction has failed. When fired, this event contains hashed values of the interaction_code and interaction_handle, as well as information about the client to which they were issued.","2021.01.0","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.interact.interaction_handle","Fired when interaction handle is generated by OIE. This event can be used by administrators to detect if additional interaction is required and an interaction handle has been issued. When fired this event contains interaction handle hash and the client to which it was issued.","2021.01.0","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.key.rollover","Custom Authorization Server token signing key rolled over.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.detect_reuse","Detect one-time refresh token attempted reuse. This event can be used by administrators to detect and audit attempted reuse of one-time refresh tokens. When fired this event contains information about the user, client to which the refresh token was minted, and the hash of the refresh tokens.","2020.09.3","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.grant","OAuth2 token request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.grant.access_token","OAuth2 access token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.grant.device_secret","Grant an OAuth2 device_secret for the Native SSO flow. This event adds tracking to let admins know when Native SSO is being used to protect desktop or mobile apps. When fired this event contains the device secret id which administrators can use to correlate with single logout events across native desktop apps.","2021.04.2","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.grant.id_token","OAuth2 id token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.grant.refresh_token","OAuth2 refresh token is granted.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.as.token.revoke","OAuth2 token revocation request.","2016.14","oauth2","oauth2-as-runtime","oauth2-custom-as"
"app.oauth2.authorize","OIDC authorization request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
"app.oauth2.authorize.code","OIDC authorization code request.","2016.14","oauth2","oauth2-as-runtime","oauth2-org-as"
